used_ai_type,other_ai_type,suitability_choice,reason,difficulty_rating,has_comparison,session_id
Complementary,Similar,,,Zor,False,1
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,2
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,3
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,4
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,5
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,6
Similar,Complementary,,,Orta,False,7
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,8
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,9
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,10
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,11
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,12
Similar,Complementary,,,Orta,False,13
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,14
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,15
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Çok Kolay,True,16
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,17
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,18
Similar,Complementary,,,Zor,False,19
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,20
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Kolay,True,21
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,22
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,23
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Kolay,True,24
Similar,Complementary,,,Kolay,False,25
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Kolay,True,26
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,27
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,28
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,29
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,30
Similar,Complementary,,,Zor,False,31
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,32
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,33
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,34
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,35
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,36
Complementary,Similar,,,Zor,False,37
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,38
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,39
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Zor,True,40
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,41
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,42
Complementary,Similar,,,Zor,False,43
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,44
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,45
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,46
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,47
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,48
Similar,Complementary,,,Orta,False,49
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Zor,True,50
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Çok Zor,True,51
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,52
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,53
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,54
Similar,Complementary,,,Zor,False,55
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Kolay,True,56
