learning_ease_score,instructiveness_score,cognitive_load_score,example_quality_score,scaffolding_score,bloom_taxonomy_level,explanation_quality,code_id
6,10,5,6,8,Apply (Uygulama) - Seviye 3,7,1
6,7,1,8,8,Apply (Uygulama) - Seviye 3,6,2
7,5,1,7,7,Apply (Uygulama) - Seviye 3,7,3
4,6,4,6,7,Apply (Uygulama) - Seviye 3,6,4
6,6,7,8,7,Apply (Uygulama) - Seviye 3,6,5
5,7,1,7,7,Apply (Uygulama) - Seviye 3,7,6
6,4,3,9,9,Apply (Uygulama) - Seviye 3,7,7
4,7,3,7,7,Apply (Uygulama) - Seviye 3,8,8
8,5,3,7,8,Apply (Uygulama) - Seviye 3,7,9
6,5,2,8,6,Apply (Uygulama) - Seviye 3,7,10
8,7,3,6,7,Apply (Uygulama) - Seviye 3,7,11
9,2,5,9,7,Apply (Uygulama) - Seviye 3,9,12
7,9,3,8,8,Apply (Uygulama) - Seviye 3,7,13
7,6,5,8,7,Apply (Uygulama) - Seviye 3,6,14
6,6,1,6,7,Apply (Uygulama) - Seviye 3,7,15
6,4,3,8,6,Apply (Uygulama) - Seviye 3,8,16
7,10,4,6,6,Apply (Uygulama) - Seviye 3,8,17
7,7,8,8,7,Apply (Uygulama) - Seviye 3,7,18
8,8,2,7,9,Evaluate (Değerlendirme) - Seviye 5,9,19
10,5,3,7,6,Evaluate (Değerlendirme) - Seviye 5,6,20
7,5,4,6,7,Evaluate (Değerlendirme) - Seviye 5,8,21
6,8,2,8,7,Evaluate (Değerlendirme) - Seviye 5,8,22
7,7,5,7,7,Evaluate (Değerlendirme) - Seviye 5,7,23
7,7,4,7,8,Evaluate (Değerlendirme) - Seviye 5,7,24
7,5,5,7,8,Analyze (Analiz) - Seviye 4,7,25
5,9,4,8,7,Analyze (Analiz) - Seviye 4,8,26
5,5,2,7,8,Analyze (Analiz) - Seviye 4,6,27
8,7,6,8,8,Analyze (Analiz) - Seviye 4,6,28
5,5,4,9,9,Analyze (Analiz) - Seviye 4,8,29
6,5,1,8,8,Analyze (Analiz) - Seviye 4,7,30
7,5,4,6,8,Apply (Uygulama) - Seviye 3,6,31
8,9,5,9,9,Apply (Uygulama) - Seviye 3,7,32
7,8,10,8,6,Apply (Uygulama) - Seviye 3,8,33
8,6,5,9,7,Apply (Uygulama) - Seviye 3,8,34
7,10,1,6,6,Apply (Uygulama) - Seviye 3,8,35
8,7,2,7,8,Apply (Uygulama) - Seviye 3,8,36
5,10,5,6,6,Apply (Uygulama) - Seviye 3,8,37
8,5,4,6,7,Apply (Uygulama) - Seviye 3,7,38
6,6,3,7,7,Apply (Uygulama) - Seviye 3,7,39
8,10,5,8,8,Apply (Uygulama) - Seviye 3,8,40
5,8,5,7,7,Apply (Uygulama) - Seviye 3,8,41
5,6,2,6,7,Apply (Uygulama) - Seviye 3,6,42
4,9,4,7,7,Evaluate (Değerlendirme) - Seviye 5,6,43
6,7,3,8,6,Evaluate (Değerlendirme) - Seviye 5,8,44
4,10,1,7,8,Evaluate (Değerlendirme) - Seviye 5,7,45
6,6,3,8,9,Evaluate (Değerlendirme) - Seviye 5,9,46
5,8,4,9,7,Evaluate (Değerlendirme) - Seviye 5,8,47
6,8,5,7,6,Evaluate (Değerlendirme) - Seviye 5,7,48
6,6,5,9,7,Understand (Anlama) - Seviye 2,7,49
7,8,3,8,7,Understand (Anlama) - Seviye 2,8,50
8,5,7,7,8,Understand (Anlama) - Seviye 2,7,51
8,8,5,6,6,Understand (Anlama) - Seviye 2,7,52
5,9,3,7,7,Understand (Anlama) - Seviye 2,8,53
6,5,4,8,6,Understand (Anlama) - Seviye 2,8,54
4,6,3,7,7,Create (Yaratma) - Seviye 6,5,55
6,7,2,5,6,Create (Yaratma) - Seviye 6,6,56
5,8,6,7,6,Create (Yaratma) - Seviye 6,5,57
6,7,4,5,5,Create (Yaratma) - Seviye 6,6,58
7,9,5,6,8,Create (Yaratma) - Seviye 6,7,59
7,10,2,5,7,Create (Yaratma) - Seviye 6,6,60
7,7,7,7,9,Apply (Uygulama) - Seviye 3,9,61
7,4,7,7,6,Apply (Uygulama) - Seviye 3,7,62
9,7,6,7,7,Apply (Uygulama) - Seviye 3,8,63
7,6,5,7,8,Apply (Uygulama) - Seviye 3,8,64
7,8,2,8,7,Apply (Uygulama) - Seviye 3,6,65
5,10,4,8,9,Apply (Uygulama) - Seviye 3,8,66
8,8,6,7,6,Apply (Uygulama) - Seviye 3,8,67
4,5,1,6,6,Apply (Uygulama) - Seviye 3,7,68
7,10,1,8,6,Apply (Uygulama) - Seviye 3,7,69
7,3,4,8,8,Apply (Uygulama) - Seviye 3,6,70
5,6,2,6,6,Apply (Uygulama) - Seviye 3,8,71
7,6,2,7,9,Apply (Uygulama) - Seviye 3,8,72
7,6,4,8,7,Apply (Uygulama) - Seviye 3,8,73
8,6,3,9,9,Apply (Uygulama) - Seviye 3,9,74
9,10,3,7,6,Apply (Uygulama) - Seviye 3,8,75
9,7,2,8,6,Apply (Uygulama) - Seviye 3,6,76
4,6,2,7,7,Apply (Uygulama) - Seviye 3,6,77
9,7,2,8,9,Apply (Uygulama) - Seviye 3,7,78
4,8,7,7,7,Evaluate (Değerlendirme) - Seviye 5,7,79
6,6,2,6,8,Evaluate (Değerlendirme) - Seviye 5,8,80
7,6,2,6,7,Evaluate (Değerlendirme) - Seviye 5,6,81
5,7,5,7,6,Evaluate (Değerlendirme) - Seviye 5,7,82
8,5,1,7,8,Evaluate (Değerlendirme) - Seviye 5,9,83
5,8,1,6,8,Evaluate (Değerlendirme) - Seviye 5,6,84
6,9,3,8,6,Apply (Uygulama) - Seviye 3,8,85
9,2,2,7,7,Apply (Uygulama) - Seviye 3,7,86
6,7,3,6,6,Apply (Uygulama) - Seviye 3,7,87
6,6,3,6,8,Apply (Uygulama) - Seviye 3,8,88
10,8,3,7,8,Apply (Uygulama) - Seviye 3,7,89
5,3,3,6,8,Apply (Uygulama) - Seviye 3,6,90
3,7,5,8,8,Evaluate (Değerlendirme) - Seviye 5,6,91
6,8,7,8,9,Evaluate (Değerlendirme) - Seviye 5,8,92
5,8,2,7,8,Evaluate (Değerlendirme) - Seviye 5,8,93
7,9,3,7,9,Evaluate (Değerlendirme) - Seviye 5,9,94
7,8,2,8,8,Evaluate (Değerlendirme) - Seviye 5,8,95
10,5,2,8,8,Evaluate (Değerlendirme) - Seviye 5,6,96
5,10,4,7,6,Analyze (Analiz) - Seviye 4,8,97
7,5,4,6,7,Analyze (Analiz) - Seviye 4,6,98
6,5,3,6,8,Analyze (Analiz) - Seviye 4,8,99
9,7,3,8,8,Analyze (Analiz) - Seviye 4,8,100
7,4,2,7,8,Analyze (Analiz) - Seviye 4,7,101
4,6,3,7,6,Analyze (Analiz) - Seviye 4,6,102
9,6,2,9,9,Apply (Uygulama) - Seviye 3,7,103
7,7,3,7,6,Apply (Uygulama) - Seviye 3,6,104
6,6,4,6,6,Apply (Uygulama) - Seviye 3,6,105
8,9,1,6,7,Apply (Uygulama) - Seviye 3,8,106
5,5,7,7,6,Apply (Uygulama) - Seviye 3,8,107
5,6,4,7,7,Apply (Uygulama) - Seviye 3,6,108
7,6,6,8,8,Apply (Uygulama) - Seviye 3,8,109
6,7,2,8,8,Apply (Uygulama) - Seviye 3,8,110
8,6,1,8,7,Apply (Uygulama) - Seviye 3,9,111
10,3,6,6,8,Apply (Uygulama) - Seviye 3,7,112
7,7,5,6,7,Apply (Uygulama) - Seviye 3,8,113
7,7,1,7,6,Apply (Uygulama) - Seviye 3,8,114
7,6,2,8,9,Apply (Uygulama) - Seviye 3,8,115
4,9,4,9,7,Apply (Uygulama) - Seviye 3,8,116
8,3,2,6,8,Apply (Uygulama) - Seviye 3,7,117
5,7,2,8,8,Apply (Uygulama) - Seviye 3,8,118
4,5,5,9,7,Apply (Uygulama) - Seviye 3,8,119
7,5,5,7,7,Apply (Uygulama) - Seviye 3,7,120
5,7,7,6,6,Analyze (Analiz) - Seviye 4,6,121
6,8,5,8,8,Analyze (Analiz) - Seviye 4,6,122
6,7,5,7,7,Analyze (Analiz) - Seviye 4,7,123
8,8,5,9,8,Analyze (Analiz) - Seviye 4,9,124
4,8,4,6,7,Analyze (Analiz) - Seviye 4,8,125
8,7,5,6,6,Analyze (Analiz) - Seviye 4,6,126
6,6,3,7,7,Apply (Uygulama) - Seviye 3,7,127
5,6,3,6,6,Apply (Uygulama) - Seviye 3,6,128
4,7,5,6,8,Apply (Uygulama) - Seviye 3,6,129
9,10,3,6,8,Apply (Uygulama) - Seviye 3,6,130
6,6,3,7,6,Apply (Uygulama) - Seviye 3,7,131
5,7,4,8,9,Apply (Uygulama) - Seviye 3,8,132
8,5,4,8,8,Understand (Anlama) - Seviye 2,7,133
10,6,3,8,7,Understand (Anlama) - Seviye 2,6,134
9,9,3,7,6,Understand (Anlama) - Seviye 2,6,135
8,7,1,6,8,Understand (Anlama) - Seviye 2,6,136
6,7,4,6,6,Understand (Anlama) - Seviye 2,6,137
5,4,3,9,9,Understand (Anlama) - Seviye 2,8,138
9,10,3,6,6,Analyze (Analiz) - Seviye 4,8,139
10,8,3,8,8,Analyze (Analiz) - Seviye 4,8,140
7,9,6,7,7,Analyze (Analiz) - Seviye 4,6,141
7,9,2,8,7,Analyze (Analiz) - Seviye 4,7,142
9,7,4,8,8,Analyze (Analiz) - Seviye 4,7,143
10,6,4,8,8,Analyze (Analiz) - Seviye 4,6,144
7,6,4,7,8,Analyze (Analiz) - Seviye 4,6,145
5,9,1,7,8,Analyze (Analiz) - Seviye 4,7,146
6,6,7,8,8,Analyze (Analiz) - Seviye 4,8,147
6,5,5,9,9,Analyze (Analiz) - Seviye 4,9,148
8,8,4,7,6,Analyze (Analiz) - Seviye 4,7,149
5,7,4,7,8,Analyze (Analiz) - Seviye 4,7,150
8,7,4,7,7,Evaluate (Değerlendirme) - Seviye 5,7,151
